dateTime,Lon,Lat,Altitude,Speed,Vspeed,Course,监测站点,峰值时间,持续时间,Leq,SEL,Lmax,flight_number,Aircraft_model,SiteLon,SiteLat,SiteAltitude,AirTemperature,BarometricPressure,RelativeHumidity,WindSpeed,Distance,timestamp
2025-03-01 06:20:35,126.2669387,45.6602573,809.7,329.700711,8.0,332.331627,八里堡,6:20:49,25,63.3,69.32,72.8,3U3303,A320,126.289,45.651,0,-7.9,998.5,50.2,4.2,2161.360003515478,1740810035
2025-03-01 06:36:26,125.8945698,45.6524568,3995.2,547.255956,13.5,168.8645,半岛世家,6:36:40,24,65.47,78.02,70.6,MU5649,A320NEO,126.279,45.631,0,-8.0,998.6,50.7,3.5,30339.121307674523,1740810986
2025-03-01 07:07:11,125.672084,45.481293,5433.0,646.454123,8.0,219.06997,八里堡,7:07:40,36,69.12,78.15,78.1,MF8098,B738,126.289,45.651,0,-7.9,998.8,50.5,3.9,52028.410674682775,1740812831
2025-03-01 07:07:24,125.8689525,45.585952,3577.2,498.814397,13.0,118.69678,半岛世家,7:07:44,33,65.34,78.13,71.5,MF8098,B738,126.279,45.631,0,-7.9,998.8,50.5,3.8,32582.352661965066,1740812844
2025-03-01 07:36:17,125.9263221,45.7265979,3740.9,434.026485,9.6,192.604773,八里堡,7:36:31,33,69.95,78.4,78.3,HO1914,A321NEO,126.289,45.651,0,-7.7,999.0,49.2,3.7,29719.28251686209,1740814577
2025-03-01 07:37:30,126.1010317,45.6829774,2322.7,403.20116,8.9,227.206131,八里堡,7:37:44,31,58.52,58.52,84.3,LT4349,A321,126.289,45.651,0,-7.7,999.0,49.2,3.8,15253.380477833118,1740814650
2025-03-01 07:38:56,126.0701377,45.6932243,2820.4,470.270641,11.1,283.440459,徐家窝棚,7:38:59,47,74.21,74.21,84.3,LT4349,A321,126.259,45.656,161,-7.7,999.0,49.0,3.8,15519.081950366492,1740814736
2025-03-01 07:48:54,126.0415908,45.640973,3081.2,472.647887,10.7,211.825545,徐家窝棚,7:49:24,32,62.8,62.8,74.5,EU2795,ARJ21,126.259,45.656,161,-7.7,999.1,49.1,3.3,17282.466603389075,1740815334
2025-03-01 08:13:47,125.9504717,45.673577,2908.3,471.928876,8.9,184.127995,半岛世家,8:14:05,34,66.37,79.16,72.4,CZ6259,A333,126.279,45.631,0,-7.7,999.2,49.4,3.4,26209.145697192194,1740816827
2025-03-01 08:31:43,125.8364475,45.6852438,3729.2,524.02701,9.0,218.981599,苇塘沟屯,8:31:57,31,55.89,55.89,87.3,CZ6219,A333,126.279,45.661,0,-7.5,999.0,48.7,4.2,34798.41034480963,1740817903
2025-03-01 08:32:15,125.9904709,45.6379603,2785.3,426.023162,7.0,274.982184,八里堡,8:32:29,31,65.05,65.05,76.7,CZ6219,A333,126.289,45.651,0,-7.5,999.0,48.5,4.1,23488.5721800009,1740817935
2025-03-01 08:34:10,125.8732444,45.6060767,3634.1,549.07578,5.8,199.816576,苇塘沟屯,8:34:25,35,70.65,82.69,76.7,HU7627,B738,126.279,45.661,0,-7.5,999.0,48.7,3.5,32434.86753971631,1740818050
2025-03-01 08:37:25,125.8668409,45.7465331,2880.6,504.115438,13.4,246.982096,半岛世家,8:37:43,33,65.36,76.49,72.7,LT4319,A321,126.279,45.631,0,-7.3,999.0,49.2,4.0,34705.893727126124,1740818245
2025-03-01 08:42:53,125.9689801,45.6212117,2526.2,408.709328,8.3,130.192679,苇塘沟屯,8:43:07,34,69.49,82.04,75.9,CA1640,A332,126.279,45.661,0,-7.3,998.9,48.6,3.9,24705.503451845307,1740818573
2025-03-01 10:00:24,126.2462436,45.6748463,913.2,337.995903,13.0,327.984988,徐家窝棚,10:00:38,32,65.85,75.85,74.0,EU2849,ARJ21,126.259,45.656,161,-6.5,997.5,49.7,3.2,2437.737280593896,1740823224
2025-03-01 11:36:57,125.9560722,45.4369832,1272.0,351.68066,4.5,60.844309,半岛世家,11:37:17,36,67.68,81.83,72.8,CA1644,B737,126.279,45.631,0,-5.6,997.9,52.2,4.0,33212.58234894503,1740829017
2025-03-01 14:20:26,125.9750638,45.5164438,1999.0,395.017883,9.4,88.423694,松山小学,14:20:42,33,58.48,58.48,84.3,ZH221,A320,126.275,45.685,0,-4.3,998.6,44.3,4.9,30046.991409222377,1740838826
2025-03-01 14:35:11,126.1329686,45.6352728,1373.7,348.129775,6.8,189.039399,苇塘沟屯,14:35:25,31,63.51,73.51,78.5,CZ6658,A359,126.279,45.661,0,-4.5,999.0,47.9,4.7,11818.564929333656,1740839711
2025-03-01 14:35:17,126.1081825,45.647554,1577.5,363.8762,7.6,193.97685,徐家窝棚,14:35:47,44,71.73,71.73,85.4,CZ6658,A359,126.259,45.656,161,-4.5,999.0,47.9,4.7,11879.66481916682,1740839717
2025-03-01 14:51:24,126.1711989,45.605517,2139.4,377.585205,7.8,211.094175,徐家窝棚,14:51:31,33,59.69,59.69,75.4,MU2598,B738,126.259,45.656,161,-4.7,999.0,49.1,3.6,9071.845885433962,1740840684
2025-03-01 17:16:20,126.1372874,45.6757533,1621.0,381.551137,7.5,198.748696,徐家窝棚,17:16:34,31,62.99,62.99,76.3,GX8824,A320NEO,126.259,45.656,161,-7.4,1001.3,45.9,4.2,9845.834741376591,1740849380
2025-03-01 17:22:57,126.0471301,45.5988939,2803.6,428.565498,9.0,182.49842,苇塘沟屯,17:23:17,60,73.04,84.18,81.9,HU7326,A333,126.279,45.661,0,-7.5,1001.4,47.6,3.6,19559.79936927393,1740849777
2025-03-01 17:28:32,125.7301116,45.5886216,6371.6,618.162058,11.2,223.100666,八里堡,17:29:06,35,69.15,79.15,77.5,MU2174,B738,126.289,45.651,0,-7.7,1001.6,47.6,4.4,44615.93781598134,1740850112
2025-03-01 18:04:53,126.0550152,45.6254943,2070.9,413.216792,8.2,207.620789,徐家窝棚,18:05:06,31,47.16,47.16,80.1,CZ3634,A333,126.259,45.656,161,-8.6,1002.6,50.3,1.7,16375.287456093029,1740852293
2025-03-01 18:19:16,126.200432,45.746046,2072.0,412.035664,19.0,318.644489,农丰满族锡伯族镇中心学校,18:19:30,31,65.77,78.32,71.3,ZH9623,A319,126.12,45.5,0,-8.9,1002.8,50.8,2.6,28137.64368456976,1740853156
2025-03-02 06:29:55,126.0432195,45.6989332,2680.0,364.184283,12.0,149.867325,徐家窝棚,06:30:09,24,62.15,62.15,74.1,MU5489,A320NEO,126.259,45.656,161,-15.8,1010.2,62.0,0.8,17660.456619981138,1740896995
2025-03-02 06:32:55,126.0592246,45.717557,2822.2,451.249379,11.2,220.697361,徐家窝棚,06:33:09,24,56.69,56.69,76.0,GJ8187,A320NEO,126.259,45.656,161,-15.8,1010.2,61.4,2.0,17210.841743916062,1740897175
2025-03-02 07:29:15,126.098715,45.7031338,2367.4,448.286764,9.9,295.191645,徐家窝棚,07:29:29,31,61.7,61.7,73.2,3U6406,A321NEO,126.259,45.656,161,-14.8,1011.3,58.1,0.6,13723.218253881656,1740900555
2025-03-02 08:43:38,125.8217642,45.5325696,3804.8,461.925938,9.4,226.070912,徐家窝棚,08:43:48,32,66.5,79.92,71.1,EU1921,ARJ21,126.259,45.656,161,-12.1,1011.7,50.6,0.6,36962.61812938596,1740905018
2025-03-02 08:44:36,126.158171,45.6530087,1307.0,378.632008,11.3,197.457276,八里堡,08:44:50,34,55.67,55.67,80.9,ZH9753,A320NEO,126.289,45.651,0,-12.0,1011.7,50.9,0.6,10284.66197934865,1740905076
2025-03-02 09:02:32,125.8238337,45.6363187,4726.7,620.77199,9.0,155.836711,苇塘沟屯,09:02:44,33,70.04,82.08,76.3,SC8413,B738,126.279,45.661,0,-10.5,1011.7,45.7,0.4,35912.54659942606,1740906152
2025-03-02 11:30:45,126.1675933,45.538904,431.2,290.231162,6.7,91.575211,徐家窝棚,11:30:58,31,59.37,62.38,77.3,9C8672,A320NEO,126.259,45.656,161,-5.5,1011.8,25.3,1.4,14843.597499386591,1740915045
2025-03-02 15:36:21,126.0695781,45.6036634,1851.9,370.359841,6.3,172.741947,徐家窝棚,15:36:33,37,74.72,74.72,86.1,8L9592,B738,126.259,45.656,161,-4.3,1010.0,29.4,2.3,15967.176950624593,1740929781
2025-03-02 16:43:28,126.2065065,45.5937472,595.3,281.555063,6.0,185.442107,八里堡,16:43:42,31,61.31,66.08,82.9,CA1624,A321,126.289,45.651,0,-5.1,1009.9,36.4,0.3,9068.857302904662,1740933808
2025-03-02 17:36:06,126.0466909,45.7002047,3579.6,533.728828,13.5,191.351199,徐家窝棚,17:36:09,33,61.02,61.02,82.6,HU7430,B738,126.259,45.656,161,-7.1,1010.3,44.7,0.7,17595.833043421237,1740936966
2025-03-02 19:00:25,126.2110827,45.6297027,811.3,351.01905,4.5,285.090875,徐家窝棚,19:00:39,26,61.05,61.05,76.0,GJ8540,A320NEO,126.259,45.656,161,-8.6,1010.9,50.8,0.1,4787.908475714515,1740942025
2025-03-02 21:36:51,126.0462083,45.6327885,2344.5,448.984948,9.4,155.426793,八里堡,21:37:03,29,68.91,80.37,76.0,HU7210,B789,126.289,45.651,0,-11.1,1011.1,63.1,0.1,19183.604151518182,1740951411
2025-03-02 21:37:05,126.045126,45.6570124,2524.0,478.371894,11.1,263.730915,苇塘沟屯,21:37:18,26,70.17,83.78,74.2,HU7210,B789,126.279,45.661,0,-11.1,1011.1,63.0,0.1,18410.42932698824,1740951425
2025-03-02 22:07:54,126.0423806,45.6354198,2402.2,461.123989,7.9,208.187838,徐家窝棚,22:08:09,25,60.21,60.21,73.5,CZ8963,A320NEO,126.259,45.656,161,-11.6,1011.2,62.2,0.3,17191.165357077265,1740953274
2025-03-03 06:42:24,126.0712286,45.4603024,1871.0,438.350223,12.6,219.441977,农丰满族锡伯族镇中心学校,06:42:38,24,59.74,62.75,72.1,GJ8239,A321NEO,126.12,45.5,0,-15.7,1012.0,61.8,0.1,6125.137814000182,1740984144
2025-03-03 07:17:35,126.1227938,45.5033907,1227.3,386.268324,10.2,217.848949,农丰满族锡伯族镇中心学校,07:17:48,31,53.95,53.95,78.3,HU7627,B738,126.12,45.5,0,-14.4,1012.2,58.9,0.09,1302.303116792422,1740986255
2025-03-03 08:16:49,126.2347592,45.6386323,967.2,330.655539,6.9,184.398357,厢白二屯,08:17:03,39,73.13,73.13,86.6,MU9815,A320,126.165,45.557,0,-11.2,1012.6,48.4,0.06,10625.153250724556,1740989809
2025-03-03 09:01:06,125.943581,45.400325,5471.0,669.790546,10.0,147.13943,林场村,09:01:20,31,66.09,78.39,71.3,9H8365,B738,126.323,45.682,0,-8.4,1012.4,37.3,0.6,43470.60851942351,1740992466
2025-03-03 09:07:52,126.1406618,45.536507,1522.6,366.341326,7.8,232.445653,厢白五屯,09:08:07,33,66.04,78.83,71.4,EU2747,ARJ21,126.186,45.564,0,-7.8,1012.2,38.1,0.2,4918.826180373476,1740992872
2025-03-03 09:31:56,126.2641462,45.7353884,607.6,302.23777,4.2,123.754748,林场村,09:32:17,50,72.85,72.85,84.3,CA8301,A333,126.323,45.682,0,-7.2,1012.0,31.1,1.8,7522.518247803843,1740994316
2025-03-03 10:04:39,126.19796,45.5678443,583.7,309.964527,11.0,218.856062,厢白五屯,10:04:52,31,65.31,76.77,72.1,CZ6271,A333,126.186,45.564,0,-6.2,1011.7,28.7,0.1,1181.149902992943,1740996279
2025-03-03 10:35:46,126.2797062,45.642436,838.3,319.697184,4.9,165.411374,林场村,10:36:00,33,65.19,76.65,73.3,EU2796,ARJ21,126.323,45.682,0,-4.5,1011.8,25.4,2.3,5606.011328327628,1740998146
2025-03-03 10:48:10,126.0614172,45.5912562,1224.6,401.860608,8.0,158.481861,农丰满族锡伯族镇中心学校,10:48:24,32,74.68,74.68,89.7,ZH9759,A320NEO,126.12,45.5,0,-4.7,1011.7,23.3,0.1,11194.784782224142,1740998890
2025-03-03 12:15:21,126.1653525,45.6766908,1316.7,348.806013,4.5,145.289869,林场村,12:15:35,31,59.27,66.26,74.4,9C8683,A320NEO,126.323,45.682,0,-3.0,1011.7,23.9,2.1,12367.963144135589,1741004121
2025-03-03 12:24:42,126.132068,45.6403656,2985.5,471.681356,6.8,149.667876,八里堡,12:24:56,32,50.14,53.15,77.2,MU6959,B738,126.289,45.651,0,-2.8,1011.7,24.7,2.1,12650.981032916694,1741004682
2025-03-03 12:45:21,126.1761463,45.6618971,1355.8,372.260369,3.9,120.46723,西下坎,12:45:39,37,72.93,72.93,88.9,MU6347,A332,126.298,45.671,0,-2.5,1011.7,25.5,2.9,9646.260481369836,1741005921
2025-03-03 12:48:13,126.1432064,45.5968731,1733.7,410.402192,6.3,143.238886,西下坎,12:48:21,31,56.08,56.08,75.9,MU9814,A320,126.298,45.671,0,-2.6,1011.7,24.5,2.9,14717.925513112034,1741006093
2025-03-03 14:40:19,126.1432858,45.5530474,2285.6,442.951795,8.8,219.746411,厢白二屯,14:40:32,61,74.79,74.79,83.2,MF8740,B737,126.165,45.557,0,-0.4,1010.5,24.2,2.0,2879.709047644184,1741012819
2025-03-03 14:47:25,126.0549683,45.6239997,1413.6,390.496903,4.0,117.17073,厢白头屯,14:47:39,31,62.0,62.0,72.8,PN6340,A321,126.181,45.535,0,-0.8,1010.4,24.2,0.1,14022.986676923543,1741013245
2025-03-03 15:18:27,126.2114809,45.720597,1007.6,367.037036,5.3,143.366195,林场村,15:18:41,32,60.69,60.69,75.1,MU5198,A320NEO,126.323,45.682,0,-0.1,1010.1,23.8,0.9,9739.733358196916,1741015107
2025-03-03 15:49:51,126.145805,45.5895791,1591.1,378.959103,7.8,156.542586,厢白头屯,15:49:54,31,62.89,62.89,78.3,GJ8788,A320NEO,126.181,45.535,0,-1.3,1009.8,26.1,0.5,6847.624686387413,1741016991
2025-03-03 16:11:12,125.997709,45.396253,2834.0,497.509389,8.0,219.259391,厢白五屯,16:11:36,76,74.01,88.48,82.0,EU2797,ARJ21,126.186,45.564,0,-1.9,1009.4,26.4,1.4,23928.87898111161,1741018272
2025-03-03 18:34:45,126.009156,45.4050255,2159.5,516.90912,9.8,214.838911,林场村,18:34:59,31,65.58,78.13,70.3,MF8806,B738,126.323,45.682,0,-6.2,1010.2,36.6,0.1,39415.40947670415,1741026885
2025-03-03 18:43:55,126.1996775,45.56958,415.0,287.871344,13.0,220.041547,厢白五屯,18:44:12,39,69.34,81.38,76.1,CZ6203,A350,126.186,45.564,0,-6.6,1010.2,39.4,0.1,1302.6961861287862,1741027435
2025-03-03 19:14:59,126.200947,45.5706393,375.7,310.396526,11.0,219.674257,厢白五屯,19:15:16,36,71.25,83.55,77.3,HU7326,A333,126.186,45.564,0,-6.5,1010.1,37.5,0.1,1430.8320477440684,1741029299
2025-03-03 19:15:26,126.182317,45.5545315,719.5,306.610891,12.0,219.362455,厢白头屯,19:15:40,26,65.53,68.54,74.1,HU7326,A333,126.181,45.535,0,-6.5,1010.1,37.6,0.1,2289.3384769967333,1741029326
2025-03-03 19:53:55,126.2751704,45.6329734,890.4,316.265515,7.1,222.128497,厢白五屯,19:54:12,34,70.34,82.64,76.5,HU7210,B789,126.186,45.564,0,-7.8,1010.1,44.9,0.1,10391.216803711884,1741031635
2025-03-03 21:39:09,126.0350055,45.6251817,1051.2,386.117199,7.5,146.052932,厢白五屯,21:39:25,32,69.52,80.98,76.1,GS7920,EMB195,126.186,45.564,0,-8.5,1010.0,51.5,0.1,13644.854947479123,1741037949
2025-03-04 08:07:01,125.9478367,45.4492789,3844.3,534.807767,9.0,137.760485,立功村,08:07:14,31,65.75,77.51,72.9,HO1914,A321NEO,126.274,45.63,0,-7.5,1007.4,54.8,0.5,32677.057910091007,1741075621
2025-03-04 08:24:15,126.0388768,45.7240992,2758.2,516.445236,9.5,278.471458,八里堡,08:24:29,31,62.71,68.73,73.8,FU6693,B738,126.289,45.651,0,-6.6,1007.3,50.1,1.8,21294.13867762791,1741076655
2025-03-04 08:24:51,125.9141727,45.7157034,3579.2,568.912179,12.1,263.32445,松山小学,08:24:56,35,74.76,83.79,81.0,FU6693,B738,126.275,45.685,0,-6.6,1007.3,49.9,1.4,28541.0106553826,1741076691
2025-03-04 08:26:37,126.0246473,45.6988836,3019.1,559.672713,9.4,264.010697,松山小学,08:26:47,60,72.94,88.25,78.6,CZ6219,A333,126.275,45.685,0,-6.5,1007.2,49.5,2.8,19797.60944060965,1741076797
2025-03-04 08:29:53,126.0254742,45.6761269,3019.4,529.069939,11.9,272.906535,松山小学,08:30:07,31,56.84,56.84,76.2,CZ8639,A320,126.275,45.685,0,-6.4,1007.2,47.8,3.1,19702.33969122892,1741076993
2025-03-04 08:33:08,125.8840258,45.667177,3415.8,517.486107,8.3,209.77293,徐家窝棚,08:33:22,31,58.34,58.34,76.8,JR1505,B738,126.259,45.656,161,-6.2,1007.2,47.5,2.2,29438.318819696105,1741077188
2025-03-04 09:11:20,126.0847794,45.7288134,2273.7,499.040886,8.2,298.1226,八里堡,09:11:36,37,74.59,82.37,85.0,MF8745,B738,126.289,45.651,0,-3.9,1006.5,37.2,4.3,18252.13070628304,1741079480
2025-03-04 09:31:21,126.0136251,45.5437032,2617.3,447.277406,6.8,227.015241,松山小学,09:31:42,33,61.29,61.29,82.6,LT6667,A321,126.275,45.685,0,-3.6,1006.1,36.0,3.9,25872.378381408573,1741080681
2025-03-04 10:39:09,126.2550722,45.5716719,2421.1,402.017813,5.9,177.534959,八里堡,10:39:23,31,54.22,57.23,76.2,SC8436,B738,126.289,45.651,0,-1.9,1005.4,31.0,3.2,9520.199577519485,1741084749
2025-03-04 11:00:02,126.2123781,45.6136071,618.8,298.989403,5.6,185.194357,苇塘沟屯,11:00:16,31,48.81,48.81,76.8,HO1755,A321NEO,126.279,45.661,0,-1.1,1005.5,30.3,0.7,7423.992693032796,1741086002
2025-03-04 12:23:06,126.0429867,45.6556376,2312.2,386.755136,8.6,154.344303,松山小学,12:23:16,45,73.81,86.11,78.8,9C7303,A320NEO,126.275,45.685,0,-0.1,1003.9,28.1,3.0,18519.36599536739,1741090986
2025-03-04 13:37:01,126.2365202,45.6156967,559.7,285.791134,7.3,243.03572,徐家窝棚,13:37:15,31,63.83,73.83,72.1,9C6804,A320NEO,126.259,45.656,161,0.7,1003.2,28.1,2.2,4826.947908980698,1741095421
2025-03-04 14:20:23,126.0803998,45.5648221,2420.6,435.129473,8.0,201.083733,松山小学,14:20:40,70,74.85,92.56,78.3,CZ3743,A321NEO,126.275,45.685,0,0.5,1003.0,35.5,2.8,20364.983618992028,1741098023
2025-03-04 14:26:09,125.923639,45.6149561,2780.9,460.528337,7.0,200.400602,松山小学,14:26:57,73,74.83,91.26,79.7,9C6426,A320NEO,126.275,45.685,0,0.2,1003.0,35.4,3.2,28615.20627402138,1741098369
2025-03-04 14:53:49,126.0968346,45.5925687,2786.4,455.796393,7.8,139.014745,松山小学,14:54:01,31,50.57,56.59,76.5,PN6340,A321,126.275,45.685,0,-0.1,1003.1,37.4,2.8,17503.92428346648,1741100029
2025-03-04 14:56:12,126.0712049,45.5838471,2239.8,420.59899,6.6,165.025819,松山小学,14:56:25,34,58.59,61.6,84.3,OZ340,A320NEO,126.275,45.685,0,-0.2,1003.1,37.3,3.2,19597.070259919463,1741100172
2025-03-04 14:57:24,126.0176616,45.6142551,2250.6,432.791047,7.9,212.450845,松山小学,14:57:38,31,53.41,61.19,78.5,OZ340,A320NEO,126.275,45.685,0,-0.2,1003.1,38.0,2.2,21666.697322998243,1741100244
2025-03-04 15:05:02,125.839097,45.431075,3687.4,576.815176,6.4,112.19242,松山小学,15:06:10,70,72.14,88.86,75.1,CZ8635,A330,126.275,45.685,0,-0.2,1003.0,38.2,2.7,44379.25971080872,1741100702
2025-03-04 15:07:02,126.1989288,45.6249944,770.8,346.875734,4.6,214.928078,松山小学,15:07:15,31,60.92,60.92,74.9,CZ8635,A330,126.275,45.685,0,-0.2,1003.0,38.0,2.3,8957.631927626124,1741100822
2025-03-04 17:06:37,126.0860252,45.4752215,1123.5,305.89371,5.8,33.476904,苇塘沟屯,17:06:54,38,69.54,81.84,75.4,HU7210,B789,126.279,45.661,0,-1.9,1002.6,50.8,1.7,25586.091738828916,1741107997
2025-03-04 17:40:40,126.272702,45.642929,403.0,313.56777,10.5,36.83732,八里堡,17:40:57,40,70.21,82.26,76.7,HU7326,A333,126.289,45.651,0,-2.3,1002.7,51.4,2.5,1606.6828045803732,1741110040
2025-03-04 18:42:42,126.1716436,45.5389686,561.8,294.518858,5.0,96.683839,苇塘沟屯,18:42:53,31,68.27,80.31,73.8,G54282,CRJ9,126.279,45.661,0,-2.9,1002.9,57.0,1.4,15951.4398780274,1741113762
2025-03-04 20:04:26,126.0790982,45.6880946,2456.4,496.491088,9.4,208.003134,苇塘沟屯,20:04:39,26,68.43,78.84,75.0,CZ3914,B788,126.279,45.661,0,-3.5,1003.0,59.2,0.7,16056.091636098516,1741118666
2025-03-04 21:23:23,126.0890704,45.592619,2294.7,403.454373,7.3,278.774127,八里堡,21:23:37,27,64.47,70.49,74.7,CA1622,A332,126.289,45.651,0,-3.7,1002.8,59.0,0.4,17046.79571892059,1741123403
2025-03-05 13:11:28,125.7476031,45.653943,5092.5,605.528234,5.2,237.797096,立功村,13:11:46,37,67.16,79.47,74.1,HU7074,A332,126.274,45.63,0,3.0,1003.3,40.2,3.2,41455.04793012411,1741180288
